"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000000847518,000000847518,2,120,,,,
000000847235,000000847235,2,120,,,,
000000846815,000000846815,2,120,,,,
000000846812,000000846812,2,120,,,,
000000846813,000000846813,2,120,,,,
000000846810,000000846810,2,120,,,,
000000846811,000000846811,2,120,,,,
000000847516,000000847516,2,120,,,,
000000847514,000000847514,2,120,,,,
000000847513,000000847513,2,120,,,,
000000847510,000000847510,2,120,,,,
000000847511,000000847511,2,120,,,,
000000831101,000000831101,2,120,,,,
000000848007,000000848007,2,120,,,,
000000848006,000000848006,2,120,,,,
000000848005,000000848005,2,120,,,,
000000848004,000000848004,2,120,,,,
000000848003,000000848003,2,120,,,,
000000848003,000000848003,2,60,"49773","49768",,
000000848002,000000848002,2,120,,,,
000000848001,000000848001,2,120,,,,
000000848001,000000848001,2,1620,"49765","49765",,
000000848001,000000848001,2,60,"49765","49773",,
000000848001,000000848001,2,3780,"49768","49765",,
000000848001,000000848001,2,1920,"49768","49768",,
000000848001,000000848001,2,540,"49768","49773",,
000000848000,000000848000,2,120,,,,
000000848009,000000848009,2,120,,,,
000000848008,000000848008,2,120,,,,
000000846816,000000846816,2,120,,,,
000000846814,000000846814,2,120,,,,
000000831060,000000831060,2,120,,,,
000000831061,000000831061,2,120,,,,
000000847755,000000847755,2,120,,,,
000000847752,000000847752,2,120,,,,
000000847750,000000847750,2,120,,,,
000000847751,000000847751,2,120,,,,
000000831102,000000831102,2,120,,,,
000000831100,000000831100,2,120,,,,
000000846302,000000846302,2,120,,,,
000000846303,000000846303,2,120,,,,
000000846300,000000846300,2,120,,,,
000000844170,000000844170,2,180,,,,
000000844620,000000844620,2,120,,,,
000008010184,000008010184,2,300,,,,
000000846265,000000846265,2,120,,,,
000000172237,000000172237,2,120,,,,
000000115500,000000115500,2,120,,,,
000000115503,000000115503,2,180,,,,
000000171321,000000171321,2,120,,,,
000000171324,000000171324,2,120,,,,
000000171322,000000171322,2,120,,,,
000009300208,000009300208,2,120,,,,
000000171320,000000171320,2,120,,,,
000000170909,000000170909,2,120,,,,
000000103640,000000103640,2,120,,,,
000000846544,000000846544,2,120,,,,
000000846545,000000846545,2,120,,,,
000000856144,000000856144,2,120,,,,
000000856143,000000856143,2,120,,,,
000008000149,000008000149,2,420,,,,
000008000148,000008000148,2,300,,,,
