stop_name,stop_lat,stop_lon,current_time,current_date,daytime
Bremen Arensburgstraße,53.078505,8.855109,02:44:51,2024-02-16,night
Bremen Wasserturm,53.186622,8.572564,02:44:51,2024-02-16,night
Bremen Weidedamm-Süd,53.096293,8.819184,02:44:51,2024-02-16,night
Bremen Bruchhauser Straße,53.039086,8.834853,02:44:51,2024-02-16,night
Bremen Huckelriede,53.051804,8.819524,02:44:51,2024-02-16,night
Bremen Willigstraße,53.059,8.80887,02:44:51,2024-02-16,night
Bremen August-Hinrichs-Straße,53.060767,8.804383,02:44:51,2024-02-16,night
Bremen Arster Landstraße,53.028031,8.849956,02:44:51,2024-02-16,night
Bremen Arster Hemm,53.024278,8.859401,02:44:51,2024-02-16,night
Bremen Universität-Süd,53.105197,8.850888,02:44:51,2024-02-16,night
Bremen Arsterdamm,53.046718,8.818351,02:44:51,2024-02-16,night
Bremen Harriersand,53.057678,8.728489,02:44:51,2024-02-16,night
Bremen Brüsseler Straße,53.056144,8.716162,02:44:51,2024-02-16,night
Bremen Soester Straße,53.034094,8.81067,02:44:51,2024-02-16,night
Bremen Marßel,53.178579,8.724093,02:44:51,2024-02-16,night
Bremen Mercedes-Benz Tor 7,53.062863,8.913942,02:44:51,2024-02-16,night
Bremen Roland-Center,53.048336,8.741268,02:44:51,2024-02-16,night
Bremen Philipp-Scheidemann-Straße,53.085865,8.879448,02:44:51,2024-02-16,night
Bremen Haferwende,53.111887,8.878577,02:44:51,2024-02-16,night
Bremen Habenhauser Brückenstraße,53.050319,8.847649,02:44:51,2024-02-16,night
Bremen Waller Ring,53.098533,8.776565,02:44:51,2024-02-16,night
Bremen Marschstraße,53.047316,8.892916,02:44:51,2024-02-16,night
Bremen Pfarrfeldsweg,53.045353,8.851022,02:44:51,2024-02-16,night
Bremen Neuwieder Straße,53.066796,8.96154,02:44:51,2024-02-16,night
Bremen Norderländer Straße,53.058464,8.758757,02:44:51,2024-02-16,night
Bremen Heisiusstraße,53.039044,8.916285,02:44:51,2024-02-16,night
Bremen Heinrich-Hertz-Straße,53.082918,8.874987,02:44:51,2024-02-16,night
Bremen Heiligenbergstraße,53.053487,8.953382,02:44:51,2024-02-16,night
Bremen Helsingborger Straße,53.178584,8.71919,02:44:51,2024-02-16,night
Bremen Grenzwehr,53.068245,8.938981,02:44:51,2024-02-16,night
Bremen Neue Vahr Nord,53.086163,8.896131,02:44:51,2024-02-16,night
Bremen Stehnckenshoff,53.168762,8.695165,02:44:51,2024-02-16,night
Bremen Staustraße,53.04662,8.859413,02:44:51,2024-02-16,night
Bremen Mittelshuchtinger Dorfstraße,53.056921,8.72305,02:44:51,2024-02-16,night
Bremen Modersohnweg,53.094139,8.914759,02:44:51,2024-02-16,night
Bremen Stadtwaldsee,53.114889,8.837954,02:44:51,2024-02-16,night
Bremen Meyerstraße,53.064636,8.797028,02:44:51,2024-02-16,night
Bremen Paul-Feller-Straße,53.055847,8.795915,02:44:51,2024-02-16,night
Bremen Nedderland,53.092271,8.909687,02:44:51,2024-02-16,night
Bremen Nauheimer Straße,53.044673,8.915057,02:44:51,2024-02-16,night
Bremen Neuenlander Straße,53.066911,8.782459,02:44:51,2024-02-16,night
Bremen Eppenhainer Straße,53.041521,8.931657,02:44:51,2024-02-16,night
Bremen Engadiner Straße,53.066433,8.95569,02:44:51,2024-02-16,night
Bremen Emmentaler Straße,53.069544,8.93453,02:44:51,2024-02-16,night
Bremen Erkelenzer Straße,53.077937,8.920951,02:44:51,2024-02-16,night
Bremen Zum Kränholm,53.172469,8.67981,02:44:51,2024-02-16,night
Bremen Zum Huchtinger Bahnhof,53.05814,8.735178,02:44:51,2024-02-16,night
Bremen Zum Donaufleet,53.181632,8.567805,02:44:51,2024-02-16,night
Bremen Stader Straße/Hamburger Straße,53.068065,8.84893,02:44:51,2024-02-16,night
Bremen Stackkamp,53.040671,8.904561,02:44:51,2024-02-16,night
